,Oper. Margin,Profit Margin,EPS this Y,Sales Q/Q,EPS Q/Q,EPS next Q,Payout,Book/sh,ROE,ROA,LT Debt/Eq,P/E,Forward P/E,Recom,Perf Week,Perf Month,Perf Quarter,Prev Close,SMA20,Target Price,P/B,Growth %,Leverage
KSS,5.9,3.7,12.8,3.1,13.8,0.86,56.0,34.31,13.5,5.3,0.57,12.98,11.11,2.4,3.58,15.71,22.57,59.08,7.05,56.29,1.721946954240746,5.94,2.547169811320755
TJX,10.8,7.7,24.6,4.8,5.7,0.66,32.5,4.38,59.1,16.4,0.42,24.25,21.09,1.9,1.0,1.11,16.04,59.82,1.48,61.36,13.657534246575343,39.8925,3.603658536585366
TDG,36.6,15.3,61.5,69.1,34.3,5.24,0.0,23.48,47.5,5.0,0.0,41.86,26.29,2.3,3.46,6.31,4.13,559.78,5.72,582.29,23.840715502555366,47.5,9.5
JKS,3.4,1.7,144.2,14.1,19.8,0.83,0.0,29.23,5.9,1.2,0.39,8.93,5.98,3.0,1.25,2.92,23.84,14.95,2.45,18.97,0.5114608279165241,5.9,4.916666666666667
DAVA,11.4,8.3,33.9,24.6,70.5,0.27,0.0,4.02,15.8,11.8,0.0,77.16,32.82,2.4,10.0,10.39,22.54,43.98,7.8,3302.09,10.940298507462687,15.8,1.3389830508474576
ARMK,6.0,3.3,12.3,1.0,14.6,0.69,19.9,13.31,16.9,3.9,2.19,23.37,17.56,2.1,1.56,1.29,8.66,43.66,0.26,45.92,3.280240420736288,13.536899999999997,4.333333333333333
AFMD,29.1,30.6,53.4,2572.0,27.4,0.17,0.0,0.58,31.0,12.5,0.02,0.0,0.0,1.4,3.89,19.28,12.72,2.47,12.24,7.21,4.2586206896551735,31.0,2.48
BIDU,2.1,2.2,48.9,0.4,152.0,1.87,0.0,64.73,1.4,0.8,0.38,0.0,16.01,2.0,6.03,8.73,12.31,117.05,5.55,143.72,1.8082805499768266,1.4,1.7499999999999998
YY,7.2,19.7,38.1,67.8,88.7,0.96,0.0,58.21,13.8,9.4,0.15,7.35,11.89,1.7,4.95,3.76,6.92,61.81,0.68,83.61,1.061845043806906,13.8,1.4680851063829787
WB,32.3,0.0,57.1,1.7,11.6,0.76,0.0,9.42,0.0,0.0,0.42,17.23,14.59,2.3,20.34,13.33,2.93,43.55,15.78,52.48,4.623142250530785,0.0,
BABA,18.1,34.3,36.2,39.8,260.9,2.29,0.0,33.03,29.4,15.0,0.2,22.42,20.6,1.6,0.89,4.89,4.04,185.49,3.28,223.44,5.615803814713897,29.4,1.96
ROKU,4.2,3.8,86.8,50.5,141.9,0.13,0.0,3.97,9.8,5.3,0.0,0.0,0.0,2.1,29.0,13.11,16.55,157.3,14.78,137.29,39.622166246851386,9.8,1.8490566037735852
HUYA,2.4,5.5,43.3,77.4,84.6,0.13,0.0,5.52,5.8,4.6,0.0,53.94,28.37,1.7,11.13,1.75,6.54,22.44,1.84,28.59,4.065217391304349,5.8,1.2608695652173914
SINA,0.0,5.7,18.1,0.8,46.7,0.55,0.0,40.13,4.3,1.9,0.32,15.98,11.72,2.1,22.24,19.63,23.57,33.21,17.62,56.29,0.8275604286070272,4.3,2.263157894736842
BILI,23.3,18.0,28.9,49.8,268.6,0.15,0.0,3.6,13.8,8.3,0.41,0.0,0.0,1.7,0.78,16.45,15.24,16.71,3.9,19.72,4.641666666666667,13.8,1.6626506024096386
